model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9925441389290883,0.0006573693576418465,0.9887645169668655,0.0010005481976594207,12660.0470703125,459.96142032277936,0.009880980270525221,2.8073216710076703e-05,0.3391304016113281,0.0,0.0,0.0,0.9994121924341699,1
GRU + bp_lag1,0.9828654124457307,0.002224553146067816,0.9742330738658509,0.0033416006744013014,12922.553515625,433.61651200829124,0.009845022008351325,1.0491302391099884e-05,0.3391304016113281,0.0,0.0,0.0,0.9919771441898432,2
LSTM + bp,0.9928219971056439,0.0004483917043365919,0.9892927029011451,0.0005613525106150301,14154.930859375,324.1804391536013,0.01038562227444866,3.814408675102402e-05,0.4515571594238281,0.0,0.0,0.0,0.9698971548149795,3
LSTM + bp_lag1,0.9835600578871201,0.0022356722246506763,0.9753665645031331,0.003085135936028236,13943.6328125,160.4986318357628,0.010390723819605867,8.201116643013236e-05,0.4515571594238281,0.0,0.0,0.0,0.9623874916605286,4
STA-LSTM-H + bp_lag1,0.9852156295224314,0.0008496598845456942,0.9781026090667607,0.0012128952426045032,14958.3970703125,343.154392124278,0.012488131552891517,9.405198257198486e-05,0.7258491516113281,0.0,0.0,0.0,0.9194278237433815,5
STA-LSTM + bp_lag1,0.9849609261939218,0.0008279274872952267,0.9778402267564298,0.0010744407416231289,15140.203515625,309.13486587607144,0.012492376903958845,8.303913451439996e-05,0.7258491516113281,0.0,0.0,0.0,0.9191957969690634,6
Transformer + bp,0.9924283646888569,0.0001916404672329435,0.9885904489746078,0.0003714058811599814,17677.80078125,252.99009699080128,0.01354485452875991,0.00013274271579849557,1.1460151672363281,0.0,0.0,0.0,0.9019595465669055,7
STA-LSTM (accel),0.956341534008683,0.006510425200176921,0.9400307287837089,0.009077733600390412,14902.7396484375,173.53477652625344,0.012458572108918523,5.790162367156262e-05,0.7238960266113281,0.0,0.0,0.0,0.8964746464718604,8
Transformer + bp_lag1,0.9850072358900144,0.00062560954378497,0.9774303177029898,0.0011171619753219126,17655.9015625,160.69300440129055,0.013484600694195062,1.748980328111338e-05,1.1460151672363281,0.0,0.0,0.0,0.896304500070038,9
STA-LSTM-H (accel),0.9554616497829234,0.00455533017742929,0.9384793821874631,0.0060713705186492654,15077.5470703125,576.5700031347328,0.012504253858584485,0.0001041734678921553,0.7238960266113281,0.0,0.0,0.0,0.8954769588296171,10
