model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9933892908827786,0.0007187333462306965,0.9904646060000598,0.0012084654434874834,14113.4740234375,590.3383530454644,0.00985527338861729,8.970550037211063e-05,0.3391304016113281,0.0,0.0,0.0,0.9987073032673381,1
GRU + bp_lag1,0.9858986975397974,0.0008714655521416482,0.9796536404384769,0.0011892670324706851,14577.9021484375,1017.6380511205994,0.009732468642682571,2.8084005835825232e-05,0.3391304016113281,0.0,0.0,0.0,0.9939213835378572,2
LSTM + bp,0.9934471780028945,0.0013182004355417887,0.9909840722206292,0.0014662106695328707,13658.7326171875,379.8278475616822,0.010341281886717948,9.441170513511276e-05,0.4515571594238281,0.0,0.0,0.0,0.969215217912854,3
LSTM + bp_lag1,0.9866049204052099,0.0008668390875755499,0.9809365829484868,0.0014302122129657452,14490.0654296875,506.12305449613314,0.010247149140817988,4.0357265019683065e-05,0.4515571594238281,0.0,0.0,0.0,0.9645698487842946,4
STA-LSTM + bp_lag1,0.9874963820549926,0.0008794271034365455,0.9825696890170162,0.0010443852755108506,16303.7326171875,704.9001360043077,0.012424926460867508,0.0001347204417732221,0.7258491516113281,0.0,0.0,0.0,0.920260037394318,5
STA-LSTM-H + bp_lag1,0.9861418234442836,0.004373386291149397,0.9801922262476135,0.0066916951782178035,16313.258984375,401.2577330148473,0.012374693105959598,6.32671918048326e-05,0.7258491516113281,0.0,0.0,0.0,0.9194872132980713,6
STA-LSTM-H (accel),0.9687988422575977,0.001554137117874362,0.9603963436774811,0.0012885496121052952,15693.4462890625,610.7591282668699,0.012381639929997768,0.00013979272433941762,0.7238960266113281,0.0,0.0,0.0,0.9056032451660183,7
STA-LSTM (accel),0.9662286541244572,0.0035080932090876442,0.9560977511663387,0.004692237646774865,15894.7927734375,277.1674313912668,0.012377939033342254,0.00010334531980973693,0.7238960266113281,0.0,0.0,0.0,0.9035570341252346,8
Transformer + bp,0.9933082489146164,0.0014379328424533554,0.9904761118632683,0.0018770859130584898,18041.523828125,608.5061687190029,0.01348764264980377,0.00014098543613659883,1.1460151672363281,0.0,0.0,0.0,0.9016386738419846,9
Transformer + bp_lag1,0.9878437047756874,0.0008663750823210231,0.9825281664524408,0.001345803389951103,18265.376171875,282.05584083464396,0.013467191246792395,0.00016568236692294944,1.1460151672363281,0.0,0.0,0.0,0.8973477834693051,10
