model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9931114327062229,0.0005753874912782218,0.9887836834315837,0.0010991978882233327,4671.97822265625,104.1729827810972,0.010052195556095213,5.616748909513846e-05,0.3391304016113281,0.0,0.0,0.0,0.9999347220441326,1
GRU + bp_lag1,0.9854124457308249,0.0008554768487136997,0.9760069126157926,0.0015891703360432408,4864.02705078125,218.54381533372023,0.010109670749998903,0.00010764887106486006,0.3391304016113281,0.0,0.0,0.0,0.9931647992659461,2
LSTM + bp,0.9930303907380609,0.0008575112792887171,0.9886921324930658,0.0014710724934835415,4733.34921875,60.36793564119708,0.01058939922406903,5.61002734691155e-05,0.4515571594238281,0.0,0.0,0.0,0.9698988420054402,3
LSTM + bp_lag1,0.9851461649782924,0.000593279443140677,0.9759521398129607,0.0008317113413969364,4929.66123046875,103.36883228468714,0.010615777954804225,0.00010780843752731761,0.4515571594238281,0.0,0.0,0.0,0.9633123491393596,4
STA-LSTM-H + bp_lag1,0.9865701881331403,0.0006004655272886795,0.9779836965745016,0.0009763389088133013,5198.3638671875,149.36196273361017,0.01268779738454415,8.891469183502652e-05,0.7258491516113281,0.0,0.0,0.0,0.9206150133878226,5
STA-LSTM + bp_lag1,0.9858523878437048,0.0013657435232934036,0.977105599742045,0.0017806817068584046,5189.95361328125,87.18606375382943,0.012719881538889343,0.00013859741041627756,0.7258491516113281,0.0,0.0,0.0,0.9198369972977879,6
STA-LSTM (accel),0.9688567293777133,0.0014381192601428839,0.953018620948861,0.0019962954429053456,5079.47138671875,108.65143193891373,0.01273677215335942,0.0001505184483519855,0.7238960266113281,0.0,0.0,0.0,0.9061685358694231,7
STA-LSTM-H (accel),0.9673053545586108,0.006026535747619757,0.9512231444528284,0.008316521847566826,5119.87548828125,121.6646609087877,0.012778579309992438,0.00014268644753154955,0.7238960266113281,0.0,0.0,0.0,0.904660721336826,8
Transformer + bp,0.993192474674385,0.0007823118220098725,0.9886535317109895,0.0015788590034439762,5616.39560546875,21.47088081502177,0.013773128636957682,9.862215472870116e-05,1.1460151672363281,0.0,0.0,0.0,0.9025762504927849,9
Transformer + bp_lag1,0.9867901591895801,0.000401721599372448,0.9781637375886895,0.0008778568232987247,5811.80439453125,142.07629536647858,0.013734780769531014,3.8642604629997356e-05,1.1460151672363281,0.0,0.0,0.0,0.8976230655288704,10
