model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
LSTM,0.9279421128798842,0.0040181167634320905,0.9167862582240167,0.004944791222349591,10348.3505859375,113.57732086295815,0.021913448184211072,0.00017001681320012122,0.4500923156738281,0.0,0.0,0.0,0.922780002622936,1
STA-LSTM,0.9928798842257598,0.00029516755505604175,0.9914035158437337,0.00036100304203345293,10690.138671875,317.01671639359444,0.034729236286731954,0.000490637992067399,0.7258491516113281,0.0,0.0,0.0,0.9096685107861829,2
STA-LSTM-H,0.992520984081042,0.0010518266538914192,0.991009641915427,0.0012230279935096188,11038.364453125,502.8997822735843,0.03611438231362103,0.002070630904177798,0.7258491516113281,0.0,0.0,0.0,0.9069592453572205,3
GRU,0.9295050651230101,0.009206301775688052,0.9192767037917502,0.009925031671563682,10459.9400390625,387.6199024142528,0.06115901192000565,0.0005311993859769268,0.3380317687988281,0.0,0.0,0.0,0.8847668520171673,4
Transformer,0.875739507959479,0.00481063910432809,0.8569786599360116,0.005152851150219254,13567.5642578125,174.4759616465098,0.05204747870090039,0.004630202592729717,1.1455268859863281,0.0,0.0,0.0,0.7772273224626354,5
KF,,,,,2373.1110874747233,0.009172210770307228,0.01872581141622125,7.820495613529268e-05,0.0,0.0,18.292904689180517,0.00032970861808286414,,
EKF-HMM,,,,,2655.0764650811393,0.4513124424729752,0.019048594838674094,0.00010318253010494796,0.0,0.0,8.584732112080207,0.01553772140562092,,
