comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,6.0,0.6875,False,6.0,0.6875,False,12.0,0.90625,False,0.992520984081042,0.991009641915427,11038.364453125,0.9928798842257598,0.9914035158437337,10690.138671875,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,14.0,0.96875,False,0.992520984081042,0.991009641915427,11038.364453125,,,,0.9279421128798842,0.9167862582240167,10348.3505859375,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,12.0,0.90625,False,0.992520984081042,0.991009641915427,11038.364453125,,,,,,,0.9295050651230101,0.9192767037917502,10459.9400390625,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.992520984081042,0.991009641915427,11038.364453125,,,,,,,,,,0.875739507959479,0.8569786599360116,13567.5642578125,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.992520984081042,0.991009641915427,11038.364453125,,,,,,,,,,,,,,,2373.1110874747233,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.992520984081042,0.991009641915427,11038.364453125,,,,,,,,,,,,,,,,,,2655.0764650811393
