model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9931461649782923,0.0002184423995845236,0.9916705227403689,0.00025220029924418326,7612.829296875,286.8255658878532,0.009903921132473284,9.04589120679401e-05,0.3391304016113281,0.0,0.0,0.0,0.9999813487206388,1
GRU + bp_lag1,0.9847525325615051,0.0009759431972541885,0.981399064010741,0.0010637714511834027,8056.09638671875,333.53150849156395,0.009925567976289391,0.00010708177133963866,0.3391304016113281,0.0,0.0,0.0,0.9930021682130954,2
LSTM + bp,0.993041968162084,0.00038814598238471265,0.9916277277541603,0.00041457100466903764,7792.4380859375,227.64614040140975,0.010418743660670802,0.00012075954925704954,0.4515571594238281,0.0,0.0,0.0,0.9700585374007495,3
LSTM + bp_lag1,0.9844862518089725,0.0004587348829212225,0.9810589866413938,0.0007359805278958644,7780.39912109375,276.12494669829545,0.010413887732636651,0.00017454847912567686,0.4515571594238281,0.0,0.0,0.0,0.9632112149244366,4
STA-LSTM + bp_lag1,0.9858523878437048,0.0006011348184427279,0.9827515132179923,0.0007709915716834527,8085.18251953125,258.71587369995086,0.012396541048062346,6.0681422000781925e-05,0.7258491516113281,0.0,0.0,0.0,0.9207206977108485,5
STA-LSTM-H + bp_lag1,0.9858292329956585,0.0009111660721250733,0.9828666033378054,0.0010238187173292723,8294.7396484375,398.98656052915294,0.01241947109534711,5.2388070595331136e-05,0.7258491516113281,0.0,0.0,0.0,0.9205545408344525,6
Transformer + bp,0.9931693198263387,0.0006351776196513294,0.9916810234593415,0.0007259480924201322,11004.341015625,657.1658740162969,0.013611002685030446,0.00010313110236787851,1.1460151672363281,0.0,0.0,0.0,0.9023562208678351,7
STA-LSTM (accel),0.9601389290882778,0.001299872006326917,0.9538668358054444,0.0018991810536568919,8620.78125,372.4626482512659,0.012465419449914899,0.00010132810344376346,0.7238960266113281,0.0,0.0,0.0,0.8996930597628614,8
STA-LSTM-H (accel),0.9582749638205499,0.00182666657606547,0.9516310520067652,0.002244174429721525,8349.1220703125,213.83020590291244,0.01251227653810455,0.00018506821492491674,0.7238960266113281,0.0,0.0,0.0,0.8978940959667129,9
Transformer + bp_lag1,0.9865817655571636,0.0006418948202896176,0.9836848096683969,0.00078632863564983,11044.248046875,342.41559322415134,0.013595144729387398,5.15820541822508e-05,1.1460151672363281,0.0,0.0,0.0,0.8971348070126532,10
