model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9921736613603473,0.0006901931605575062,0.9844786137343691,0.001362660268020782,7713.03779296875,410.9679290121187,0.009945239154716304,5.4701271484976756e-05,0.3391304016113281,0.0,0.0,0.0,0.9990117126041607,1
GRU + bp_lag1,0.9832358900144719,0.0008369444664279097,0.967058933397111,0.002074696311796928,8288.11591796875,281.5388472889778,0.009962646405222016,6.328829173743126e-05,0.3391304016113281,0.0,0.0,0.0,0.9916392716869671,2
LSTM + bp,0.9921273516642547,0.0005368230677566427,0.9847756560883949,0.0008391281862267662,8166.376171875,142.4470354844905,0.0105045275943281,6.838909681477015e-05,0.4515571594238281,0.0,0.0,0.0,0.968752588443685,3
LSTM + bp_lag1,0.9841157742402314,0.001936443139987744,0.9695807737197523,0.003212792446369488,8590.1208984375,188.95558388911556,0.010425315715652902,5.1637430129648764e-05,0.4515571594238281,0.0,0.0,0.0,0.9630200992351969,4
STA-LSTM + bp_lag1,0.9851693198263387,0.0012636905491060738,0.971169283937057,0.002270220016567796,9285.9103515625,400.28728416548313,0.01255472367103771,7.427647104257412e-05,0.7258491516113281,0.0,0.0,0.0,0.919308017959292,5
STA-LSTM-H + bp_lag1,0.9846946454413892,0.0016489601116715738,0.9705081575032242,0.0025357944228011,9336.2755859375,244.8112445170173,0.012531298234271673,5.6646568809612766e-05,0.7258491516113281,0.0,0.0,0.0,0.9190738369779087,6
STA-LSTM (accel),0.9702807525325616,0.001991047671359135,0.9477621929190512,0.0037314377886945417,8898.4890625,144.15662092523755,0.012573022598888614,0.0001103663311055642,0.7238960266113281,0.0,0.0,0.0,0.90732880915129,7
STA-LSTM-H (accel),0.9674327062228653,0.004489085515587172,0.9431012257896778,0.007912647636920287,8749.659765625,222.04329964987252,0.012672087328586667,0.00018299618837636919,0.7238960266113281,0.0,0.0,0.0,0.9044168693278722,8
Transformer + bp,0.9934008683068016,0.0005059744922352922,0.9870524329694751,0.000910408539373969,11625.2400390625,259.70224513631996,0.013701123599227188,9.157795928582949e-05,1.1460151672363281,0.0,0.0,0.0,0.9021791723700311,9
Transformer + bp_lag1,0.9868364688856728,0.0005211127032093683,0.9742346189710368,0.0009678917588108361,11497.619140625,426.05187813790667,0.013750564399971887,0.00012153334099706853,1.1460151672363281,0.0,0.0,0.0,0.8966317770580439,10
