comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,10.0,0.3125,False,10.0,0.3125,False,6.0,0.40625,False,0.9919768451519536,0.9881529585556168,18354.664453125,0.9917337192474674,0.9877321990604255,18524.081640625,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9919768451519536,0.9881529585556168,18354.664453125,,,,0.9097655571635311,0.8800192169533212,17622.4546875,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9919768451519536,0.9881529585556168,18354.664453125,,,,,,,0.9152069464544139,0.8877582030020058,17056.023828125,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.9919768451519536,0.9881529585556168,18354.664453125,,,,,,,,,,0.8441910274963821,0.8040726608694433,20450.12421875,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.9919768451519536,0.9881529585556168,18354.664453125,,,,,,,,,,,,,,,3397.0886746255005,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.9919768451519536,0.9881529585556168,18354.664453125,,,,,,,,,,,,,,,,,,3803.7180435354576
