model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9929261939218523,0.0009386999386685604,0.9908689344175411,0.0012910024131257641,7301.736328125,80.98478241718077,0.00998856705059493,8.221877742456979e-05,0.3391304016113281,0.0,0.0,0.0,0.9998880805819809,1
GRU + bp_lag1,0.9850998552821999,0.001923246752380192,0.9810344175036174,0.002357193734524141,7629.33603515625,177.375294598529,0.010721047248491846,0.001628786620722319,0.3391304016113281,0.0,0.0,0.0,0.9867511164754545,2
LSTM + bp,0.9928219971056441,0.0004238033046072038,0.9908869977068118,0.0005789758983753639,7745.40625,190.13531191723413,0.01044670388361307,3.5355598311796506e-05,0.4515571594238281,0.0,0.0,0.0,0.9705211036901102,3
LSTM + bp_lag1,0.984671490593343,0.0005398109743270403,0.9805390068548299,0.0006222996773897229,8016.7970703125,336.9723378191271,0.01049462972039036,9.901555001786064e-05,0.4515571594238281,0.0,0.0,0.0,0.9635185215130339,4
STA-LSTM + bp_lag1,0.9856092619392186,0.0005027855456002103,0.9817387838537355,0.0006038019414012962,8245.4044921875,75.43231270161859,0.012533949441431486,0.00011582454597973494,0.7258491516113281,0.0,0.0,0.0,0.9204076385427399,5
STA-LSTM-H + bp_lag1,0.9848451519536903,0.0018601141328869592,0.9807336143221631,0.002599519646479995,8317.278515625,240.94994485256422,0.012562118644533642,0.00012024193956958784,0.7258491516113281,0.0,0.0,0.0,0.9196133807690677,6
STA-LSTM (accel),0.9758842257597685,0.0014177499984802569,0.9699483446207378,0.001830421382206986,8102.32001953125,100.79714714755087,0.012528940364071497,5.071023316069411e-05,0.7238960266113281,0.0,0.0,0.0,0.9127311993244763,7
STA-LSTM-H (accel),0.9721678726483358,0.001774558912602812,0.9654421075338158,0.0023420420475922126,8217.4607421875,238.2945848256691,0.012679584821694234,9.974178915090747e-05,0.7238960266113281,0.0,0.0,0.0,0.9087901651810242,8
Transformer + bp,0.9930651230101303,0.0005422883208627589,0.9910900637063305,0.0007116142618598494,9800.691796875,256.7441834528037,0.01373123487271638,0.00014211488989228084,1.1460151672363281,0.0,0.0,0.0,0.9023355386105871,9
Transformer + bp_lag1,0.9862691751085384,0.000707455449722823,0.982358974214485,0.0009489862421381793,9852.9830078125,196.78104983385776,0.013616830447497313,4.3579842796862265e-05,1.1460151672363281,0.0,0.0,0.0,0.8974719814363814,10
