comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,4.0,0.84375,False,4.0,0.84375,False,10.0,0.78125,False,0.9923936324167872,0.991212581524298,19045.524609375,0.9928335745296671,0.9918073539908718,18942.187890625,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,13.0,0.9375,False,0.9923936324167872,0.991212581524298,19045.524609375,,,,0.9192706222865412,0.9099347293371179,18484.776171875,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,14.0,0.96875,False,0.9923936324167872,0.991212581524298,19045.524609375,,,,,,,0.9320289435600578,0.9244702951138042,17773.402734375,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.9923936324167872,0.991212581524298,19045.524609375,,,,,,,,,,0.8723473227206945,0.8578733892555533,21952.8625,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.9923936324167872,0.991212581524298,19045.524609375,,,,,,,,,,,,,,,3243.056229620656,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.9923936324167872,0.991212581524298,19045.524609375,,,,,,,,,,,,,,,,,,3601.246282758542
