model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
LSTM,0.9192706222865412,0.005344282390909229,0.9099347293371179,0.005324174478440326,18484.776171875,318.121975278973,0.02123522913007958,0.0002000515854850318,0.4500923156738281,0.0,0.0,0.0,0.9158276110579754,1
STA-LSTM,0.9928335745296671,0.0005272496688502779,0.9918073539908718,0.0006083380319105501,18942.187890625,343.0922408442649,0.033563763079100035,0.0009356525077401838,0.7258491516113281,0.0,0.0,0.0,0.9098388464290729,2
STA-LSTM-H,0.9923936324167872,0.0013866835156707586,0.991212581524298,0.001595202320423974,19045.524609375,825.7942381861302,0.03375322817906996,0.0011783332559646663,0.7258491516113281,0.0,0.0,0.0,0.9091292117740413,3
GRU,0.9320289435600578,0.007088504179257245,0.9244702951138042,0.006840335428901315,17773.402734375,396.5388456933303,0.0636268356119521,0.007304181755142655,0.3380317687988281,0.0,0.0,0.0,0.884379820311172,4
Transformer,0.8723473227206945,0.005631128606913445,0.8578733892555533,0.005922195214692839,21952.8625,465.3432075415453,0.04884563003196321,0.003516979363109985,1.1455268859863281,0.0,0.0,0.0,0.7758982579106797,5
KF,,,,,3243.056229620656,0.011643664861741627,0.018544725951093063,7.667090391932917e-05,0.0,0.0,18.265312645435298,0.00028712127537867537,,
EKF-HMM,,,,,3601.246282758542,2.2579423777065935,0.01881835932806997,6.500594707304097e-05,0.0,0.0,9.237855238480552,0.056894312785762395,,
