model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
STA-LSTM,0.991479015918958,0.0007007928660108349,0.9905933201406654,0.0007389630559465366,21598.98125,777.4762498007327,0.031868321146524894,0.00027354426001241386,0.7258491516113281,0.0,0.0,0.0,0.9139272900638791,1
STA-LSTM-H,0.9915369030390739,0.0008181561675973224,0.9906351771083525,0.0008211951899422301,21768.45234375,207.01836475085057,0.03212476111193728,0.00021755739265873442,0.7258491516113281,0.0,0.0,0.0,0.9134359383198558,2
LSTM,0.8561620839363242,0.0033843723464117856,0.8494208355688959,0.003675911766458144,21827.358203125,164.47359393565833,0.02148035393324283,0.0001241379864394369,0.4500923156738281,0.0,0.0,0.0,0.86587853328126,3
GRU,0.8681910274963821,0.005547386478916658,0.8622490920196324,0.005807907154201586,20969.194921875,401.5215046225002,0.0617456752422782,0.00035470702410214905,0.3380317687988281,0.0,0.0,0.0,0.8352694958716333,4
Transformer,0.8013777134587554,0.0067948137321964,0.7943180148824817,0.00597709339068252,26402.841015625,445.5012044230577,0.05212598619915211,0.002389910224449957,1.1455268859863281,0.0,0.0,0.0,0.7172915696378749,5
KF,,,,,4389.020711839321,0.01024155795262132,0.018713881447641707,6.210396798885048e-05,0.0,0.0,18.304198676914318,0.0001812133064457674,,
EKF-HMM,,,,,4884.782754396987,2.1696897380781177,0.019039781186621845,6.735019545220304e-05,0.0,0.0,9.076245564479928,0.04038894319953513,,
