model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9924862518089725,0.0006853209186430636,0.9913367567676824,0.0007723610743335183,6412.25654296875,182.53358612018081,0.010043999711226798,9.94053671346907e-05,0.3391304016113281,0.0,0.0,0.0,1.0,1
GRU + bp_lag1,0.9829580318379161,0.002338410385517984,0.9803181539575114,0.0025921965297682906,6408.685546875,299.30272121549774,0.01007903114166084,0.00011923228594516196,0.3391304016113281,0.0,0.0,0.0,0.9919721488662502,2
LSTM + bp,0.9921736613603473,0.0007452840261386311,0.9909950609590654,0.0009080562217505105,6501.05947265625,224.8041476213669,0.010486198609422584,5.79230277499495e-05,0.4515571594238281,0.0,0.0,0.0,0.9706335039601466,3
LSTM + bp_lag1,0.9836642547033285,0.0011859939389150182,0.9814061378745844,0.001197216840220946,6732.49697265625,66.64704876394707,0.011374439164058085,0.0016565047182805672,0.4515571594238281,0.0,0.0,0.0,0.9562946545800298,4
STA-LSTM + bp_lag1,0.9840578871201158,0.0015694136685689677,0.9816509005874596,0.001655996792947271,7410.26845703125,134.02002406262545,0.012642044885361678,2.8951190821164775e-05,0.7258491516113281,0.0,0.0,0.0,0.9193773160536518,5
STA-LSTM-H + bp_lag1,0.9847641099855282,0.001625546194542928,0.9824146879531112,0.0018073739200027536,7142.04814453125,341.46899018020963,0.012781045115222633,0.0001483448793177619,0.7258491516113281,0.0,0.0,0.0,0.91908252230564,6
Transformer + bp,0.9917800289435601,0.001063611839338329,0.9904797745501057,0.0012783599581477326,9159.5693359375,211.33365801426268,0.013773717022569668,0.00012811392198153776,1.1460151672363281,0.0,0.0,0.0,0.9019443737141819,7
Transformer + bp_lag1,0.9852387843704775,0.0015541371178743712,0.9829170944322794,0.0016963374397999747,9348.0560546875,299.5533607841974,0.013757364517118236,0.00012155834055698657,1.1460151672363281,0.0,0.0,0.0,0.8967584381153296,8
STA-LSTM (accel),0.9483878437047757,0.00507595781415821,0.944152291525923,0.0056019795890578416,7267.0087890625,131.64262619426307,0.012719679431108332,0.00012058437743212399,0.7238960266113281,0.0,0.0,0.0,0.8902663867039918,9
STA-LSTM-H (accel),0.9479247467438494,0.003573581551931897,0.9431124527457426,0.004289361169179181,7326.32021484375,94.2129208273319,0.01273389110495316,0.00015668062404444494,0.7238960266113281,0.0,0.0,0.0,0.8898049762415227,10
