model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9933545586107091,0.0006714905933429818,0.9913497183403785,0.0009070846332928661,8788.369921875,318.07539091990935,0.009813663870495154,4.0018167173172544e-05,0.3391304016113281,0.0,0.0,0.0,0.9998415250879769,1
GRU + bp_lag1,0.985643994211288,0.0019167543493094589,0.9811296886140448,0.0026593781121777658,8868.2546875,167.16151734958058,0.009835946546158552,0.0001141572883705478,0.3391304016113281,0.0,0.0,0.0,0.9934064940807869,2
LSTM + bp,0.9933429811866861,0.0005834837936140912,0.9913534854614726,0.0007607780404048773,8866.0333984375,260.9247927780476,0.0103325533320758,6.299459621424718e-05,0.4515571594238281,0.0,0.0,0.0,0.9699127434963895,3
LSTM + bp_lag1,0.9856324167872648,0.0012784537899601287,0.9811754852968406,0.0017378928955719805,9024.5306640625,167.5947590443232,0.010316125939393957,5.313215143066769e-05,0.4515571594238281,0.0,0.0,0.0,0.9638554988512494,4
STA-LSTM + bp_lag1,0.9862923299565847,0.0014549832927928496,0.9821777718716398,0.0019580991566799065,9492.369921875,403.39836921598675,0.012399950505445904,5.544306663257629e-05,0.7258491516113281,0.0,0.0,0.0,0.9200197232396327,5
STA-LSTM-H + bp_lag1,0.986234442836469,0.0007112346189710908,0.9821251927554557,0.0009658473541541298,9637.9787109375,558.0584621384274,0.01242639859882217,5.585961088565298e-05,0.7258491516113281,0.0,0.0,0.0,0.9198046671211374,6
STA-LSTM (accel),0.9646772793053546,0.0022363915529269164,0.9578262284061525,0.002280499856953606,9329.683203125,325.8013724140699,0.012462648499740877,8.706230615409371e-05,0.7238960266113281,0.0,0.0,0.0,0.9023433510174785,7
Transformer + bp,0.9935513748191027,0.0005853186528400424,0.9915208738787099,0.0008366990478147662,11463.3189453125,377.6735743984538,0.013501653081148474,6.160359360542686e-05,1.1460151672363281,0.0,0.0,0.0,0.9022770451798097,8
STA-LSTM-H (accel),0.960069464544139,0.00210358959064063,0.951823368250597,0.002757738351927397,9329.51328125,177.67283630900073,0.012512271725148091,0.00018395260811127924,0.7238960266113281,0.0,0.0,0.0,0.8983208753407624,9
Transformer + bp_lag1,0.9872301013024603,0.0007925252024370463,0.9832725073356903,0.0010264340806127304,11075.10859375,262.9112944658439,0.013465987321652485,5.0822373525468364e-05,1.1460151672363281,0.0,0.0,0.0,0.8973797157563609,10
