held_out_animal,model,accuracy_mean,f1_mean,rmse_mean,latency_ms_mean,memory_mb_mean
01,STA-LSTM,0.9941186685962372,0.9921116991330556,51703.01953125,0.0127157093027091,0.7258491516113281
01,STA-LSTM-H,0.9942344428364688,0.9922035872064812,45909.51171875,0.0128295141421851,0.7258491516113281
01,XGBoost,0.8510217076700434,0.8074246350464865,,0.003360858420247,4.248990058898926
01,GRU,0.8354848046309696,0.7975294805860268,44120.53125,0.0098464461474769,0.3380317687988281
01,1D-CNN,0.7601852387843705,0.7379970975639059,48589.8515625,0.0099333426342298,0.1528511047363281
01,Transformer,0.8351143270622287,0.8024922175392675,43221.875,0.0136046587434285,1.145526885986328
01,LSTM,0.7616671490593343,0.7379001330073799,47813.15234375,0.0105581276870821,0.4500923156738281
01,KF,,,3050.6362363906915,0.0185253208451911,0.0
01,EKF-HMM,,,3401.7651286508262,0.0188297531682076,0.0
02,STA-LSTM,0.99372503617945,0.9926737456230044,59715.8515625,0.0124579469178696,0.7258491516113281
02,STA-LSTM-H,0.9937134587554268,0.9926926893382664,56677.05859375,0.0125281753398575,0.7258491516113281
02,1D-CNN,0.8175629522431259,0.8014507741895288,43352.75390625,0.009697259219118,0.1528511047363281
02,XGBoost,0.8226222865412446,0.801521316532397,,0.0020989304093048,4.229405403137207
02,GRU,0.816821997105644,0.7995789489454119,62327.578125,0.009777467542863,0.3380317687988281
02,LSTM,0.8183039073806078,0.802702201320785,51206.41796875,0.0103221929035056,0.4500923156738281
02,Transformer,0.8188943560057887,0.803335909185681,51480.0546875,0.0135890695922799,1.145526885986328
02,KF,,,3261.848517219554,0.0184754704606386,0.0
02,EKF-HMM,,,3626.941927366255,0.0188583396469524,0.0
03,STA-LSTM-H,0.9933545586107092,0.991925293728927,40954.828125,0.0125107287756785,0.7258491516113281
03,STA-LSTM,0.9930767004341534,0.9916570268559064,43850.64453125,0.0124643743550337,0.7258491516113281
03,1D-CNN,0.8199479015918958,0.79446947858959,42292.10546875,0.0097129005728513,0.1528511047363281
03,XGBoost,0.8210477568740955,0.7807003907835446,,0.0020644208268085,4.253661155700684
03,GRU,0.8074674384949349,0.7865713720555156,37904.47265625,0.0097505896488358,0.3380317687988281
03,LSTM,0.8175050651230101,0.7929325509224014,39156.08984375,0.0103730904544917,0.4500923156738281
03,Transformer,0.8260376266280752,0.8011296358128547,36352.015625,0.0135552153050597,1.145526885986328
03,KF,,,2385.079067910711,0.0184891924744555,0.0
03,EKF-HMM,,,2665.202056841692,0.0189646838782773,0.0
04,STA-LSTM,0.9934934876989868,0.991057074581307,51558.44921875,0.0125770660376044,0.7258491516113281
04,STA-LSTM-H,0.9935513748191028,0.9911343037656714,50120.46484375,0.0128098458008552,0.7258491516113281
04,1D-CNN,0.8287351664254703,0.7942892504431914,50357.41796875,0.0135320684806525,0.1528511047363281
04,XGBoost,0.8287698986975398,0.7747033880542228,,0.0033212457776781,4.251067161560059
04,LSTM,0.8267554269175108,0.790361997892758,35091.98828125,0.010572860874613,0.4500923156738281
04,Transformer,0.8300086830680173,0.7950288780523233,40228.56640625,0.0135753616102999,1.145526885986328
04,GRU,0.756642547033285,0.7141998856407429,34194.8046875,0.0098634219516807,0.3380317687988281
04,KF,,,972.3823217578056,0.0295307621071398,0.0
04,EKF-HMM,,,1091.3176279336749,0.0299758053143466,0.0
05,STA-LSTM,0.9937018813314038,0.9917443315361504,47356.5546875,0.012281082825285,0.7258491516113281
05,STA-LSTM-H,0.9932272069464544,0.9911441846297736,46738.43359375,0.0122383612972265,0.7258491516113281
05,1D-CNN,0.8261186685962373,0.791114740824652,43704.078125,0.0096252754616366,0.1528511047363281
05,XGBoost,0.8327872648335746,0.7900097726385179,,0.0021409757796529,4.235232353210449
05,GRU,0.8192532561505065,0.7877175528957098,59276.671875,0.0096693721218452,0.3380317687988281
05,LSTM,0.8265933429811867,0.7943480973825036,48753.5234375,0.0101422851517063,0.4500923156738281
05,Transformer,0.821534008683068,0.7894016984541364,40952.0078125,0.0134932260378095,1.145526885986328
05,KF,,,2917.44829046465,0.0188333610997315,0.0
05,EKF-HMM,,,3267.290397524692,0.019161167825463,0.0
06,STA-LSTM-H,0.992671490593343,0.9915084425053636,22986.4140625,0.0128167266802466,0.7258491516113281
06,STA-LSTM,0.992150506512301,0.9909282226846148,25278.005859375,0.0129085534242791,0.7258491516113281
06,1D-CNN,0.8169030390738061,0.7972338244215099,24414.54296875,0.0097774920995884,0.1528511047363281
06,XGBoost,0.8147033285094066,0.7905861757226896,,0.0032318950726417,4.251648902893066
06,GRU,0.8125383502170767,0.7938650920947669,23903.982421875,0.0099303888739255,0.3380317687988281
06,LSTM,0.7916410998552822,0.771752703578569,25719.654296875,0.0104375935284968,0.4500923156738281
06,Transformer,0.7927178002894356,0.7733061921148611,20997.685546875,0.0139852426164445,1.145526885986328
06,KF,,,1538.3298569793062,0.0187311055982423,0.0
06,EKF-HMM,,,1723.1975668514942,0.0191454999930563,0.0
07,STA-LSTM-H,0.9934356005788711,0.9924778208891296,75184.6484375,0.0124646828249743,0.7258491516113281
07,STA-LSTM,0.9933892908827786,0.9924384372711044,72426.3828125,0.0124607542125365,0.7258491516113281
07,1D-CNN,0.7164804630969609,0.7055306972224044,75564.1640625,0.009704750900557,0.1528511047363281
07,XGBoost,0.728451519536903,0.7147367239086307,,0.002090469186023,4.259172439575195
07,LSTM,0.6723473227206946,0.6677239587704795,80494.0234375,0.0103243885025403,0.4500923156738281
07,GRU,0.6538581765557163,0.6523778507706749,76122.203125,0.0097812206434509,0.3380317687988281
07,Transformer,0.6997858176555717,0.6926231745283453,72502.859375,0.0135913521277835,1.145526885986328
07,KF,,,4595.1829025105135,0.0185511232072058,0.0
07,EKF-HMM,,,5105.378816852717,0.0189896158499349,0.0
08,STA-LSTM,0.990217076700434,0.988910810141146,51988.625,0.0125079145008097,0.7258491516113281
08,STA-LSTM-H,0.9903212735166426,0.9889914042127712,50405.0,0.0125462588828526,0.7258491516113281
08,1D-CNN,0.4581070911722142,0.3988685836263701,45786.26953125,0.0096621038378708,0.1528511047363281
08,XGBoost,0.4894703328509406,0.4610464842406032,,0.0035077689145455,4.246268272399902
08,GRU,0.4486946454413893,0.3953664566264183,46763.6171875,0.0098531382918551,0.3380317687988281
08,LSTM,0.463930535455861,0.4118518040707701,51431.94140625,0.0103468192180594,0.4500923156738281
08,Transformer,0.4531751085383502,0.3972908123990819,35386.83984375,0.0139880800355554,1.145526885986328
08,KF,,,1544.2440420973653,0.018754983270964,0.0
08,EKF-HMM,,,1719.3030080823155,0.0191297092328087,0.0
09,STA-LSTM,0.9919884225759767,0.9910761046174406,43370.59765625,0.012534154107317,0.7258491516113281
09,STA-LSTM-H,0.9841157742402316,0.9839173685172118,45360.26953125,0.0124887275481232,0.7258491516113281
09,1D-CNN,0.7423444283646888,0.7326467055465969,50570.078125,0.0096821956816311,0.1528511047363281
09,XGBoost,0.7437105643994212,0.727808519465155,,0.0020551509931467,4.254047393798828
09,GRU,0.7480636758321274,0.7361804214327412,47237.421875,0.0098031545475707,0.3380317687988281
09,LSTM,0.6813082489146165,0.6754925509012649,48583.80859375,0.0103481321685911,0.4500923156738281
09,Transformer,0.5792648335745296,0.5595815141335237,48623.81640625,0.0134649506329347,1.145526885986328
09,KF,,,4409.750143298844,0.0185411346337708,0.0
09,EKF-HMM,,,4903.037150501517,0.0190067551841396,0.0
10,STA-LSTM,0.9948133140376266,0.9926426727126688,36878.1015625,0.0128117754904475,0.7258491516113281
10,STA-LSTM-H,0.9948364688856728,0.9926607895611628,38346.34375,0.0128939483306665,0.7258491516113281
10,1D-CNN,0.8411808972503618,0.8049037876411296,37012.66796875,0.0100117022974899,0.1528511047363281
10,XGBoost,0.8685267727930536,0.829820801614294,,0.0033510015514583,4.247368812561035
10,GRU,0.8323936324167872,0.7961465588906039,41856.48828125,0.0101828595661112,0.3380317687988281
