comparison,acc_W,acc_p,f1_W,f1_p,rmse_W,rmse_p,n_animals,acc_p_holm,f1_p_holm,rmse_p_holm
STA-LSTM-H_vs_STA-LSTM,74.5,0.6318598717596959,78.0,0.7660293579101562,84.0,0.9661178588867188,18,1.0,1.0,1.0
STA-LSTM-H_vs_LSTM,0.0,7.62939453125e-06,0.0,7.62939453125e-06,1.0,1.52587890625e-05,18,9.1552734375e-05,9.1552734375e-05,9.1552734375e-05
STA-LSTM-H_vs_GRU,0.0,7.62939453125e-06,0.0,7.62939453125e-06,1.0,1.52587890625e-05,18,9.1552734375e-05,9.1552734375e-05,9.1552734375e-05
STA-LSTM-H_vs_Transformer,0.0,7.62939453125e-06,0.0,7.62939453125e-06,0.0,7.62939453125e-06,18,9.1552734375e-05,9.1552734375e-05,9.1552734375e-05
