model,n_animals,acc_mean,acc_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean
STA-LSTM,18,0.9932284933269013,0.0010539300996214123,0.9909743860202239,0.0015418742390080726,46819.460828993055,15998.944842832136,0.0124899573064202
STA-LSTM-H,18,0.9927493166103876,0.0023854280201279273,0.9904942125211389,0.002258953767542342,46873.301866319445,16181.306492031252,0.012810831298354638
XGBoost,18,0.7997961086991477,0.08538069987002414,0.7498467903008967,0.08420061142579467,,,0.0027617556506458613
1D-CNN,18,0.7827895159993568,0.08854264474189982,0.7430842096169499,0.09438798894394276,46928.9951171875,16642.15288239843,0.010154740567944867
Transformer,18,0.7728355041003376,0.10219287454067909,0.7350416857225736,0.10525754806839725,44742.47309027778,17845.68859035432,0.014155736497286877
GRU,18,0.7675214664737096,0.09313940238282357,0.7308647698244941,0.09780387623013446,47869.470052083336,17650.286065424843,0.010297697376502333
LSTM,18,0.7652838076861231,0.0883591185988039,0.7266580589777251,0.0913214446977639,48819.278645833336,17571.67446695787,0.010803735751792212
EKF-HMM,18,,,,,3058.836636686642,1335.7885749843317,0.020219304857868072
KF,18,,,,,2734.932544943072,1202.4256626054814,0.019805713334022076
