architecture,animal_01,animal_09,animal_17,mean_across_seed_std
STA-LSTM-H,0.9931091172214184,0.991335455861071,0.9924237337192474,0.0003339880367630976
STA-LSTM,0.9935235890014472,0.9910298118668596,0.9920995658465992,0.00030210677447966666
LSTM,0.973640520984081,0.9369377713458756,0.9627322720694644,0.001954611493061
GRU,0.977549059334298,0.9500086830680172,0.9706026049204052,0.0014714604669627
Transformer,0.9332607814761216,0.8807316931982634,0.9114188133140376,0.0038482267973547
