animal,n_windows,model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,composite_score,rank,total_time_s
01,86400,GRU + bp,0.99372503617945,0.0006716901744421,0.991481930659778,0.0009293277609338,10692.68828125,254.6191590014388,0.0100119607388304,0.9998788528294852,1,5503.04
01,86400,GRU + bp_lag1,0.986685962373372,0.0012420800932739,0.9818898463034718,0.0016733671720611,10997.38046875,482.2317381924051,0.0101447507628548,0.9929039398095844,2,5503.04
01,86400,LSTM + bp,0.9935282199710564,0.0007999321410188,0.9913772372273618,0.0010512804471029,11044.6103515625,479.9034572545147,0.0104897260779107,0.9702682574364876,3,5503.04
01,86400,LSTM + bp_lag1,0.9864891461649784,0.0008409386881544,0.9818527693369276,0.0011067141218544,10934.16015625,313.2532835262368,0.0105877127404043,0.9637189739177776,4,5503.04
01,86400,STA-LSTM-H + bp_lag1,0.9874616497829232,0.000850448285833,0.9832499085328218,0.0011357508903738,11778.9982421875,398.0731341071451,0.0126647310204771,0.9206130270032822,5,5503.04
01,86400,STA-LSTM + bp_lag1,0.9850767004341534,0.0018251984303725,0.9799707932732188,0.0024720013769865,11949.616015625,626.7048000509783,0.0126255657186923,0.9189385404140752,6,5503.04
01,86400,STA-LSTM (accel),0.9701302460202604,0.0018981327033904,0.9629616049352137,0.0022325663782169,11940.45546875,256.2002211979992,0.0126361019165402,0.9069676326285868,7,5503.04
01,86400,STA-LSTM-H (accel),0.9680347322720694,0.0064090636811309,0.9601521507942116,0.0087065255450539,11756.649609375,348.98585748485783,0.0125859507619687,0.9055966104046936,8,5503.04
01,86400,Transformer + bp,0.9938755426917512,0.000862809418646,0.9917369279740356,0.0011167830816807,14505.538671875,309.8328258290956,0.013793042548238,0.9021791748781892,9,5503.04
01,86400,Transformer + bp_lag1,0.9882836468885672,0.0007009841043459,0.9840977654276613,0.0009196993459243,14897.9560546875,451.7526837727848,0.0137957280566417,0.8976639615822508,10,5503.04
02,86400,GRU + bp,0.9932503617945004,0.0004892745958695,0.9921738919086908,0.0005572820079271,12392.3287109375,219.57011656770104,0.0098947689271439,0.9997144098698278,1,5402.75
02,86400,GRU + bp_lag1,0.986246020260492,0.0007693544532948,0.9840074396436336,0.0008118859128781,12953.76328125,616.3489146451661,0.0098748136495068,0.9942751249985432,2,5402.75
02,86400,LSTM + bp,0.9933545586107092,0.0004322582854435,0.9923338553900156,0.0004594984958314,13487.869140625,460.7610268488848,0.0103742838790033,0.970287927251302,3,5402.75
02,86400,LSTM + bp_lag1,0.9856324167872648,0.0004708468748518,0.9832817553636046,0.0004252212438125,13371.7330078125,417.995713894877,0.0103666977606465,0.964138540140149,4,5402.75
02,86400,STA-LSTM-H + bp_lag1,0.9865007235890016,0.0003864154968053,0.9843384820007428,0.00035426058896,14496.8876953125,790.6886825293362,0.0124582671122315,0.9204652747962422,5,5402.75
02,86400,STA-LSTM + bp_lag1,0.986246020260492,0.0011423579863195,0.9841028787287452,0.0012328256192116,14260.619921875,627.3910125152537,0.0125119028769314,0.919920365405745,6,5402.75
02,86400,Transformer + bp,0.9933082489146164,0.000463964455213,0.9922560596152088,0.0004884539853148,18896.6484375,509.87773379308175,0.0135547087356642,0.9024063804267468,7,5402.75
02,86400,STA-LSTM-H (accel),0.9601157742402316,0.0026741092821883,0.9550226532804548,0.0030106655279285,14388.3701171875,355.72799346852497,0.0125711813512461,0.8986302234903911,8,5402.75
02,86400,Transformer + bp_lag1,0.9870217076700436,0.0004779106787971,0.984877311155764,0.0005408075512574,18509.473828125,523.531115660121,0.013580090499735,0.8972073397648204,9,5402.75
02,86400,STA-LSTM (accel),0.9570361794500724,0.007276427116667,0.9515974123989837,0.0078759086875067,14596.302734375,572.4194568471437,0.0125266651699775,0.8964292143853844,10,5402.75
03,86400,GRU + bp,0.9931461649782924,0.0002184423995845,0.9916705227403688,0.0002522002992441,7612.829296875,286.8255658878532,0.0099039211324732,0.9999813487206388,1,5393.43
03,86400,GRU + bp_lag1,0.9847525325615052,0.0009759431972541,0.981399064010741,0.0010637714511834,8056.09638671875,333.53150849156395,0.0099255679762893,0.9930021682130954,2,5393.43
03,86400,LSTM + bp,0.993041968162084,0.0003881459823847,0.9916277277541604,0.000414571004669,7792.4380859375,227.64614040140972,0.0104187436606708,0.9700585374007497,3,5393.43
03,86400,LSTM + bp_lag1,0.9844862518089724,0.0004587348829212,0.9810589866413938,0.0007359805278958,7780.39912109375,276.12494669829545,0.0104138877326366,0.9632112149244366,4,5393.43
03,86400,STA-LSTM + bp_lag1,0.9858523878437048,0.0006011348184427,0.9827515132179924,0.0007709915716834,8085.18251953125,258.71587369995086,0.0123965410480623,0.9207206977108484,5,5393.43
03,86400,STA-LSTM-H + bp_lag1,0.9858292329956584,0.000911166072125,0.9828666033378054,0.0010238187173292,8294.7396484375,398.98656052915294,0.0124194710953471,0.9205545408344524,6,5393.43
03,86400,Transformer + bp,0.9931693198263388,0.0006351776196513,0.9916810234593416,0.0007259480924201,11004.341015625,657.1658740162969,0.0136110026850304,0.9023562208678352,7,5393.43
03,86400,STA-LSTM (accel),0.9601389290882778,0.0012998720063269,0.9538668358054444,0.0018991810536568,8620.78125,372.4626482512659,0.0124654194499148,0.8996930597628614,8,5393.43
03,86400,STA-LSTM-H (accel),0.95827496382055,0.0018266665760654,0.9516310520067652,0.0022441744297215,8349.1220703125,213.83020590291244,0.0125122765381045,0.8978940959667129,9,5393.43
03,86400,Transformer + bp_lag1,0.9865817655571636,0.0006418948202896,0.9836848096683968,0.0007863286356498,11044.248046875,342.41559322415134,0.0135951447293873,0.8971348070126532,10,5393.43
04,86400,GRU + bp,0.9931577424023156,0.0008222416627294,0.9907011713587724,0.0011510998998823,4372.20478515625,135.0575336789844,0.0100309984022603,0.9998609307006076,1,5474.44
04,86400,GRU + bp_lag1,0.98638494934877,0.0013778593849434,0.9813207431879702,0.0019220888976252,4296.96806640625,75.3773945395478,0.0100217254188143,0.9944981291307744,2,5474.44
04,86400,LSTM + bp,0.9929261939218524,0.0009928273956361,0.9904946926654226,0.0013356102357558,4379.390625,62.36369537856376,0.0104920132686795,0.9703869589748736,3,5474.44
04,86400,LSTM + bp_lag1,0.9853661360347322,0.0003722821462416,0.9799635140096312,0.0004916708685953,4638.84443359375,180.27587790116075,0.0113359026357466,0.9571868884115526,4,5474.44
