animal,n_windows,pct_Other,pct_Ruminating,pct_Eating,dominant_class_idx,dominant_class_name,dominant_pct,balancer_branch
1,86400,0.4204513888888889,0.42258101851851854,0.1569675925925926,1,Ruminating,0.42258101851851854,weighted_ce
2,86400,0.3674189814814815,0.4288310185185185,0.20375,1,Ruminating,0.4288310185185185,weighted_ce
3,86400,0.4273263888888889,0.38358796296296294,0.18908564814814816,0,Other,0.4273263888888889,weighted_ce
4,86400,0.47228009259259257,0.36528935185185185,0.16243055555555555,0,Other,0.47228009259259257,weighted_ce
5,86400,0.4547453703703704,0.3781481481481481,0.1671064814814815,0,Other,0.4547453703703704,weighted_ce
6,86400,0.4259027777777778,0.3600115740740741,0.21408564814814815,0,Other,0.4259027777777778,weighted_ce
7,86400,0.3627546296296296,0.42538194444444444,0.2118634259259259,1,Ruminating,0.42538194444444444,weighted_ce
8,86400,0.37721064814814814,0.40780092592592593,0.21498842592592593,1,Ruminating,0.40780092592592593,weighted_ce
9,86400,0.3593634259259259,0.41430555555555554,0.22633101851851853,1,Ruminating,0.41430555555555554,weighted_ce
10,86400,0.4557986111111111,0.39863425925925927,0.14556712962962962,0,Other,0.4557986111111111,weighted_ce
11,86400,0.5464930555555556,0.36162037037037037,0.09188657407407408,0,Other,0.5464930555555556,weighted_ce
12,86400,0.44719907407407405,0.3834837962962963,0.16931712962962964,0,Other,0.44719907407407405,weighted_ce
13,86400,0.45395833333333335,0.40903935185185186,0.1370023148148148,0,Other,0.45395833333333335,weighted_ce
14,86400,0.5215046296296296,0.32050925925925927,0.1579861111111111,0,Other,0.5215046296296296,weighted_ce
15,86400,0.44538194444444446,0.38994212962962965,0.16467592592592592,0,Other,0.44538194444444446,weighted_ce
16,86400,0.5167708333333333,0.3449305555555556,0.1382986111111111,0,Other,0.5167708333333333,weighted_ce
17,86400,0.4597222222222222,0.40980324074074076,0.13047453703703704,0,Other,0.4597222222222222,weighted_ce
18,86400,0.6322800925925925,0.2398611111111111,0.1278587962962963,0,Other,0.6322800925925925,weighted_ce
