model,acc_mean,acc_std,f1_mean,f1_std,rmse_mean,rmse_std,lat_mean,composite_mean
GRU,0.9189561022672456,0.02740124581912355,0.9030957757969273,0.027862467938455652,13652.218250868056,6147.4328641484,0.06535147883821335,0.8746107329810302
LSTM,0.9116436726161763,0.028570204146102916,0.8936558799221639,0.029694004942590686,13846.877408854167,6306.860908834172,0.02219919525261339,0.9097281440774463
STA-LSTM,0.9926283968483679,0.0009095187899490905,0.990267019212778,0.0015367098353426506,14481.071392144098,6621.390579668788,0.034504161153234514,0.9108295109422188
STA-LSTM-H,0.9925872326740635,0.0009293281908988718,0.9902151534662698,0.001484571254658228,14480.759602864584,6682.111238115327,0.035509338586175276,0.9090312677367925
Transformer,0.8583650104518411,0.03163595656653166,0.8310462195722288,0.03246354829103212,16268.599826388889,7409.367509224599,0.05381207803985623,0.7625902225535794
