comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,7.5,0.625,False,5.0,0.78125,False,12.0,0.90625,False,0.9930188133140376,0.9905278293552995,5613.17998046875,0.9926251808972504,0.9900151912308299,5573.1591796875,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9930188133140376,0.9905278293552995,5613.17998046875,,,,0.888821997105644,0.8629983297170855,5296.7734375,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9930188133140376,0.9905278293552995,5613.17998046875,,,,,,,0.8959189580318381,0.872398471578817,5207.9193359375,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.9930188133140376,0.9905278293552995,5613.17998046875,,,,,,,,,,0.8551895803183791,0.8257198844111983,5804.296875,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.9930188133140376,0.9905278293552995,5613.17998046875,,,,,,,,,,,,,,,969.8818230808905,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.9930188133140376,0.9905278293552995,5613.17998046875,,,,,,,,,,,,,,,,,,1089.3569902619927
