model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
LSTM,0.9369840810419682,0.006429964139581935,0.9225029221287144,0.007561810651563648,13844.873828125,161.34438100203417,0.023875856464095253,0.0018713707189617784,0.4500923156738281,0.0,0.0,0.0,0.9296079612252539,1
STA-LSTM,0.9934819102749639,0.0011144435821577032,0.9913069653959183,0.0015291785385865113,13947.5267578125,371.1276348441139,0.03693060590461026,0.002083918402813237,0.7258491516113281,0.0,0.0,0.0,0.9112211211538541,2
STA-LSTM-H,0.993192474674385,0.0007933703825881203,0.9911117822628361,0.0008973780991576005,14300.516015625,290.20763421036924,0.03824407929303893,0.0025620951473333056,0.7258491516113281,0.0,0.0,0.0,0.9087676618208546,3
GRU,0.9415918958031838,0.003487092440547253,0.928409166416919,0.004246646832986111,14348.069921875,83.6065950735459,0.07697903573938933,0.0029519095604925083,0.3380317687988281,0.0,0.0,0.0,0.8892316845013452,4
Transformer,0.8882547033285094,0.010322791196907993,0.8652561070738205,0.01116902146721629,17236.041015625,335.3333725524131,0.05227122124548672,0.0033856686467072057,1.1455268859863281,0.0,0.0,0.0,0.7904516440237365,5
KF,,,,,3047.552578338733,0.012427495829708826,0.018478434408884144,4.3075807704286155e-05,0.0,0.0,18.439922257075146,0.0003063634464335841,,
EKF-HMM,,,,,3400.5278910278307,1.4730849411366775,0.018806241782228485,4.233023803156032e-05,0.0,0.0,8.993426007587585,0.039466393437311856,,
