model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9928567293777135,0.0004596106105072061,0.9906971054633068,0.0006685252660708261,18124.97578125,783.0904292835444,0.009834417123104918,6.440773131036086e-05,0.3391304016113281,0.0,0.0,0.0,0.9997675748626254,1
GRU + bp_lag1,0.983629522431259,0.0028630199487197252,0.9784260593775084,0.003817558825535345,19478.885546875,1079.0269363969626,0.009811559465596541,2.5501696192322672e-05,0.3391304016113281,0.0,0.0,0.0,0.9925651251195223,2
LSTM + bp,0.9927062228654124,0.0005753874912782128,0.9905537201853175,0.0007171080518596654,19877.666015625,687.6309213910029,0.01033179698897426,7.30055493392613e-05,0.4515571594238281,0.0,0.0,0.0,0.9699458536485922,3
LSTM + bp_lag1,0.9844399421128799,0.0013528258364256627,0.9797744471358623,0.0017103725937548824,21540.548046875,1030.8911183747928,0.010309021012903381,1.8268189003181668e-05,0.4515571594238281,0.0,0.0,0.0,0.9634950584138617,4
STA-LSTM-H + bp_lag1,0.9849609261939218,0.0011916313598778283,0.9804327324418605,0.0015747354856402236,21982.43203125,642.8594670823627,0.012425961065902637,9.323180874276318e-05,0.7258491516113281,0.0,0.0,0.0,0.9193199615885131,5
STA-LSTM + bp_lag1,0.9844283646888569,0.0010842058251524804,0.9798213176975488,0.001396117491896166,21990.717578125,814.0029036098497,0.01241099307860764,6.563944005399243e-05,0.7258491516113281,0.0,0.0,0.0,0.9189860751607992,6
STA-LSTM (accel),0.97383502170767,0.0017050680463513977,0.9676733660730964,0.0023031357959035115,21015.336328125,522.370779857435,0.01247057637170108,0.00013897826035404453,0.7238960266113281,0.0,0.0,0.0,0.9101987678722767,7
STA-LSTM-H (accel),0.9730824891461649,0.00341818420174064,0.9665920542892013,0.00458477356679127,20337.171875,410.70585064246785,0.012476559950769291,0.00017941610872809814,0.7238960266113281,0.0,0.0,0.0,0.9095546777645966,8
Transformer + bp,0.9926483357452968,0.0006038045643024208,0.9903923539247377,0.0009496073068342272,28071.12421875,1078.6338544598902,0.013635610386610635,0.00023982306502582355,1.1460151672363281,0.0,0.0,0.0,0.901379635444588,9
Transformer + bp_lag1,0.9859102749638206,0.001190055573882144,0.9814985655135615,0.0016278153570841582,28565.500390625,746.8098571545672,0.013460182343567847,2.906469852107679e-05,1.1460151672363281,0.0,0.0,0.0,0.8968882071679417,10
