comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,6.0,0.6875,False,5.0,0.78125,False,4.0,0.21875,False,0.9918726483357453,0.9906565689674617,9864.637109375,0.9920463096960926,0.9908948629248867,9957.0376953125,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9918726483357453,0.9906565689674617,9864.637109375,,,,0.8901997105643993,0.8785140165724465,8844.2640625,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9918726483357453,0.9906565689674617,9864.637109375,,,,,,,0.8986628075253256,0.8891605026607247,8698.537890625,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,1.0,0.0625,False,0.9918726483357453,0.9906565689674617,9864.637109375,,,,,,,,,,0.840231548480463,0.8260367805846037,10171.8998046875,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.9918726483357453,0.9906565689674617,9864.637109375,,,,,,,,,,,,,,,1536.3883599854237,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.9918726483357453,0.9906565689674617,9864.637109375,,,,,,,,,,,,,,,,,,1722.627703932856
