model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
STA-LSTM,0.9920463096960926,0.0009009586782445783,0.9908948629248867,0.0010077781920622736,9957.0376953125,109.44656705495771,0.03584913610225994,0.0005980785655546948,0.7258491516113281,0.0,0.0,0.0,0.910147378753338,1
STA-LSTM-H,0.9918726483357453,0.0010882778581765768,0.9906565689674617,0.0012521282918075433,9864.637109375,240.13408632227458,0.03579510731673793,0.00027893646110853344,0.7258491516113281,0.0,0.0,0.0,0.9101032980874969,2
LSTM,0.8901997105643993,0.0029689716452826094,0.8785140165724465,0.003332558971701369,8844.2640625,112.95010324332428,0.02279175242729884,0.0004340719625853314,0.4500923156738281,0.0,0.0,0.0,0.8929722437908245,3
GRU,0.8986628075253256,0.005939861679278457,0.8891605026607247,0.006255013455492663,8698.537890625,79.27445106905765,0.06938192591222081,0.0017600482823912176,0.3380317687988281,0.0,0.0,0.0,0.8575439365558031,4
Transformer,0.840231548480463,0.007374282923119183,0.8260367805846037,0.005726886396572164,10171.8998046875,180.7557038338212,0.05788529605514405,0.0048477608706379485,1.1455268859863281,0.0,0.0,0.0,0.7464572955447817,5
KF,,,,,1536.3883599854237,0.007274561260572093,0.01906935895446758,3.780205314824162e-05,0.0,0.0,18.43081214928472,0.00039821648009386734,,
EKF-HMM,,,,,1722.627703932856,0.9106547846041225,0.01945848885368335,6.215644520584792e-05,0.0,0.0,8.543082951631401,0.04836580774958145,,
