model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
STA-LSTM,0.9928914616497829,0.0011088972527188417,0.9919249341371621,0.0012718390910357467,27511.308984375,598.8328267323473,0.03466607451131608,0.0014447566641955995,0.7258491516113281,0.0,0.0,0.0,0.9076631611688462,1
STA-LSTM-H,0.9927062228654124,0.0008128967725171601,0.9917158314082618,0.0009351964191046657,27816.840234375,184.91013030735553,0.03496202325930903,0.0013335324325508193,0.7258491516113281,0.0,0.0,0.0,0.9069967683728688,2
LSTM,0.8821186685962372,0.004971233173677365,0.8769576303471354,0.004978974622609563,25003.246875,190.3854888034375,0.02117841838429077,0.00016890349115375347,0.4500923156738281,0.0,0.0,0.0,0.8858500732000189,3
GRU,0.8880231548480463,0.0041222133180105576,0.8833517805345853,0.003973523890921777,24560.332421875,407.3169766056312,0.0626883468012475,0.000982585573370453,0.3380317687988281,0.0,0.0,0.0,0.8492883773001385,4
Transformer,0.8097945007235892,0.003522924715747141,0.8011112752693723,0.0030147182168123784,29587.7921875,480.77221635908535,0.054807549141018555,0.0018084760847541966,1.1455268859863281,0.0,0.0,0.0,0.7206240072168069,5
KF,,,,,4570.484085183407,0.016965813794406343,0.01873503470936232,7.597861054176453e-05,0.0,0.0,18.279188163843806,0.00030607860678685594,,
EKF-HMM,,,,,5083.614012499951,1.5564693701361354,0.01920985916087622,0.00010506338790279969,0.0,0.0,9.104362595143076,0.027835862755584043,,
