model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9918726483357453,0.0006756694164475728,0.9909604382997937,0.0007199491068199436,14422.976171875,797.5129379889014,0.009942626048219102,0.00012617629313872706,0.3391304016113281,0.0,0.0,0.0,0.9985541115086675,1
GRU + bp_lag1,0.9833748191027496,0.0010651230101302522,0.9815133781111843,0.0011543428591059394,14448.3291015625,728.274552652877,0.009805365210849192,3.111812089700684e-05,0.3391304016113281,0.0,0.0,0.0,0.9930812324929972,2
LSTM + bp,0.991409551374819,0.0008353414301613797,0.9905368292663367,0.0007804884310412935,15559.64765625,553.8690293808002,0.010368770431840386,0.00014829314686068087,0.4515571594238281,0.0,0.0,0.0,0.9692299138836615,3
LSTM + bp_lag1,0.9829348769898697,0.0013894838264476798,0.98101196357022,0.0015119003781593424,15362.0095703125,563.3045810761718,0.010283662114082128,2.89605863976677e-05,0.4515571594238281,0.0,0.0,0.0,0.9631778176149146,4
STA-LSTM-H + bp_lag1,0.9831201157742402,0.0008775962330881558,0.9812692668230207,0.0009073030072443191,15781.369921875,698.0235086623146,0.012409502125510948,7.639882526275705e-05,0.7258491516113281,0.0,0.0,0.0,0.9186126780862833,5
STA-LSTM + bp_lag1,0.9833516642547033,0.0014981920322380863,0.9815609513928756,0.00153167884453689,16297.378125,943.0127931324552,0.012483276445661199,0.00017959387055329888,0.7258491516113281,0.0,0.0,0.0,0.9183324526069526,6
Transformer + bp,0.9919536903039073,0.0006393841399239803,0.9910389466161058,0.0006917228251672818,23590.06328125,1325.5326504563523,0.01347240608713863,0.00011461811533252014,1.1460151672363281,0.0,0.0,0.0,0.9023732380232962,7
Transformer + bp_lag1,0.9835137481910274,0.0010441527188083924,0.981665025245046,0.0011274074811261428,21901.937109375,1220.7577277802925,0.013397791976845038,2.5317522366096862e-05,1.1460151672363281,0.0,0.0,0.0,0.8959718430894839,8
STA-LSTM (accel),0.9285788712011577,0.0039879814668517125,0.9254580600256045,0.0038835091756496886,15976.921484375,420.37426220473225,0.012445723624460605,7.285046417913915e-05,0.7238960266113281,0.0,0.0,0.0,0.8745218472891685,9
STA-LSTM-H (accel),0.9272474674384948,0.007364679614576789,0.923969541905145,0.00734393487184235,16233.9919921875,805.5623260936835,0.012510072263348552,0.00013637634639485866,0.7238960266113281,0.0,0.0,0.0,0.8730428343157449,10
