model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
LSTM,0.9161099855282201,0.0038518909218379586,0.8656232994452008,0.0047989289604141,10996.4765625,144.25655394132443,0.022371181082007426,0.0004948604712901758,0.4500923156738281,0.0,0.0,0.0,0.913246420533384,1
STA-LSTM,0.9928798842257598,0.0007688316163651181,0.9864922178442754,0.0011264820354372654,11504.5220703125,280.19529894384726,0.03444916759408719,0.0010359354197065577,0.7258491516113281,0.0,0.0,0.0,0.9115102115958811,2
STA-LSTM-H,0.9926367583212736,0.000746182716958478,0.9860171384181042,0.0010814920751720995,11256.7986328125,164.69197449531438,0.03890191416448864,0.004851889771560072,0.7258491516113281,0.0,0.0,0.0,0.9038812637941439,3
GRU,0.9295745296671489,0.006508283694163911,0.8865060986481108,0.010105678352448608,10739.30703125,323.8231768316824,0.06848980316099765,0.001152117708229292,0.3380317687988281,0.0,0.0,0.0,0.8816560580851598,4
Transformer,0.8521678726483358,0.01536068954773699,0.7812722528161149,0.015135887162246236,12796.324609375,220.49175963507304,0.053167208208393865,0.002877559946738031,1.1455268859863281,0.0,0.0,0.0,0.7582090086834163,5
KF,,,,,1974.3307160253673,0.0039397472611102866,0.01874838103627848,8.382636471295846e-05,0.0,0.0,18.38806201058256,0.00016505206368419264,,
EKF-HMM,,,,,2227.2898080499485,0.5077166751999549,0.019040132076216677,0.00012162704102554457,0.0,0.0,7.931616408261166,0.020989349706360523,,
