model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp_lag1,0.9880984081041969,0.0011718961173602864,0.9832214107165023,0.001631675639196237,6899.96904296875,164.5919837396549,0.010065265631979781,8.550420757649385e-05,0.3391304016113281,0.0,0.0,0.0,0.9950256750620046,1
GRU + bp,0.9942807525325614,0.00037764414310393615,0.991931732537442,0.0005687285844229083,7009.58466796875,185.65741718160996,0.010840943258379716,0.0016567528257618292,0.3391304016113281,0.0,0.0,0.0,0.9928449249487552,2
LSTM + bp,0.9937134587554268,0.0002472261245043427,0.991158148339219,0.00032576331876356347,7168.93271484375,325.8597612123288,0.010541018025812122,0.00010496023255682372,0.4515571594238281,0.0,0.0,0.0,0.9701326410083613,3
LSTM + bp_lag1,0.987820549927641,0.0006165453872390886,0.9827689409217453,0.0007233170094312313,7379.1361328125,296.9620146901787,0.010553828444649964,8.088544218628555e-05,0.4515571594238281,0.0,0.0,0.0,0.9652752931026813,4
STA-LSTM-H + bp_lag1,0.9863502170767005,0.0023546328808120333,0.9807346400940116,0.003507616254254787,7401.15166015625,115.54789476486553,0.012665026362947635,2.0933912799744486e-05,0.7258491516113281,0.0,0.0,0.0,0.919813876938483,5
STA-LSTM + bp_lag1,0.986246020260492,0.001311165633005565,0.9807457714311765,0.0019026608669703896,7582.94833984375,173.66898917875918,0.012733451160838136,0.00012112420670930381,0.7258491516113281,0.0,0.0,0.0,0.9193029823187147,6
STA-LSTM (accel),0.9740781476121562,0.00269094801521177,0.9658483853028634,0.0036635328687976616,7787.3689453125,145.14506160674196,0.012643300491491639,4.805962121073683e-05,0.7238960266113281,0.0,0.0,0.0,0.9102023717758101,7
STA-LSTM-H (accel),0.9722952243125904,0.005238653243315789,0.9633324912609945,0.006490778142125064,7741.40048828125,53.15155560198802,0.012691220225477872,7.80044059539431e-05,0.7238960266113281,0.0,0.0,0.0,0.908467237749378,8
Transformer + bp,0.994246020260492,0.00042475105824244175,0.9918124480318505,0.0006430240574487158,9568.7736328125,369.175017891542,0.013819921678188223,0.00016883599237883332,1.1460151672363281,0.0,0.0,0.0,0.9023957612221877,9
Transformer + bp_lag1,0.9888509406657018,0.0008313203158791941,0.9841416043378886,0.0012609926989456943,9505.973828125,270.1502691503042,0.013720878449776755,9.432300470293747e-05,1.1460151672363281,0.0,0.0,0.0,0.8985806006421838,10
