model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9931577424023155,0.0010467169484036684,0.992180971284701,0.00121393361551209,17912.37109375,338.39392624718295,0.009878524134337211,2.8567042607580644e-05,0.3391304016113281,0.0,0.0,0.0,0.9996994786627923,1
GRU + bp_lag1,0.9858639652677279,0.0010562773698831454,0.983913683756629,0.0011032767610804303,18035.044140625,736.3138868417835,0.009852521874916278,2.657297870968471e-05,0.3391304016113281,0.0,0.0,0.0,0.9940877512006341,2
LSTM + bp,0.9927293777134587,0.0010532274769823864,0.9917654438130947,0.001238073264021136,19227.870703125,425.405967727934,0.010389550392247746,0.0001018427627608974,0.4515571594238281,0.0,0.0,0.0,0.9695511632682099,3
LSTM + bp_lag1,0.9853661360347324,0.0007380551062464403,0.983307670544858,0.00085901006756287,19730.673046875,543.7088022605286,0.01036640570678259,2.623166592257319e-05,0.4515571594238281,0.0,0.0,0.0,0.9638319896187215,4
STA-LSTM + bp_lag1,0.9858292329956584,0.000643979576737395,0.9838802961743646,0.000784655564190653,20437.591015625,1235.529523760012,0.012428835938737207,3.3425800639125825e-05,0.7258491516113281,0.0,0.0,0.0,0.9200531370919444,5
STA-LSTM-H + bp_lag1,0.9855397973950796,0.000915568575155668,0.9834644298128868,0.0010190745022221606,20573.791015625,892.5205005887833,0.012424233250923768,3.41179842569102e-05,0.7258491516113281,0.0,0.0,0.0,0.9198493712049786,6
Transformer + bp,0.9932040520984081,0.0009309573600219611,0.9922575248234814,0.0010890731250357488,26054.339453125,621.6099305544071,0.013535372098818874,5.081139549625581e-05,1.1460151672363281,0.0,0.0,0.0,0.9023830590224179,7
Transformer + bp_lag1,0.9861649782923301,0.0013800949876872084,0.9841646270722311,0.0015574967512658091,25280.693359375,717.1792697180601,0.013553847976611164,3.7748961494252284e-05,1.1460151672363281,0.0,0.0,0.0,0.8966140437020605,8
STA-LSTM (accel),0.9348885672937772,0.0067669424431327525,0.9328025979957933,0.006881202610575508,20274.452734375,465.9723674479385,0.0125221887700443,0.00019071079269458943,0.7238960266113281,0.0,0.0,0.0,0.8785568481903351,9
STA-LSTM-H (accel),0.9341128798842258,0.0028840104540514295,0.9317466734073676,0.002922663823757753,20772.473828125,577.9407526248834,0.012528205373999696,0.00017443564889588184,0.7238960266113281,0.0,0.0,0.0,0.8778942662858132,10
