model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9900434153400868,0.00036793629133595056,0.9887121844176129,0.0003510144315115936,6071.951171875,138.00219875636526,0.01075974358151385,0.0016283392230166305,0.3391304016113281,0.0,0.0,0.0,0.99287029768168,1
GRU + bp_lag1,0.97967004341534,0.0009170313793719326,0.9768430972486432,0.0010613061907830139,6205.9693359375,106.45579696762232,0.010026816115613525,8.105421198016224e-05,0.3391304016113281,0.0,0.0,0.0,0.991303229727992,2
LSTM + bp,0.9901128798842258,0.00016125485704407845,0.9887819777184943,0.00018256016032321563,6291.49921875,138.55191488811516,0.010540760394493077,6.992951570547756e-05,0.4515571594238281,0.0,0.0,0.0,0.969964812286723,3
LSTM + bp_lag1,0.9794848046309695,0.0011810107490645724,0.9766822006829118,0.0013155130153253219,6404.71943359375,196.80817888605975,0.010472899240841913,7.066673822770788e-05,0.4515571594238281,0.0,0.0,0.0,0.9619966339825377,4
STA-LSTM-H + bp_lag1,0.9803068017366134,0.0007425814279976693,0.9776813231089146,0.0008136926500948807,6907.59638671875,55.880429405277376,0.012615341810420608,5.115105616837421e-05,0.7258491516113281,0.0,0.0,0.0,0.9180205684008065,5
STA-LSTM + bp_lag1,0.97989001447178,0.0005841725412002513,0.9771762555993773,0.0006868808540139498,6961.31396484375,185.0198260782414,0.012565511780185829,3.834980686279004e-05,0.7258491516113281,0.0,0.0,0.0,0.9179991110920287,6
Transformer + bp,0.9904370477568742,9.261939218525583e-05,0.9891036984159278,0.00018290330944230524,8295.52578125,282.6991506626863,0.013707775792427762,0.00013436955030490122,1.1460151672363281,0.0,0.0,0.0,0.9027390613874994,7
Transformer + bp_lag1,0.9800057887120115,0.001405405814691164,0.9772108876358996,0.001580669154187905,8178.2265625,237.3874756343456,0.013678933906216611,3.3262637699116204e-05,1.1460151672363281,0.0,0.0,0.0,0.8944677102315627,8
STA-LSTM-H (accel),0.927108538350217,0.00527902606720565,0.9210539283793218,0.005855172376503651,6980.09326171875,65.05335300946366,0.012701232762611033,8.215972985080174e-05,0.7238960266113281,0.0,0.0,0.0,0.8746396172256182,9
STA-LSTM (accel),0.9261476121562952,0.005446239793954788,0.9203908131867259,0.005959699883048174,6890.1275390625,91.74033086816448,0.012717751341342237,0.00014526438255157593,0.7238960266113281,0.0,0.0,0.0,0.8737609171129894,10
