comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,15.0,0.03125,True,15.0,0.03125,True,3.0,0.15625,False,0.992960926193922,0.9910430559922465,9718.963671875,0.9924978292329957,0.9905564562064659,9835.3017578125,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,14.0,0.96875,False,0.992960926193922,0.9910430559922465,9718.963671875,,,,0.94983502170767,0.9378635989533173,9503.4439453125,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.992960926193922,0.9910430559922465,9718.963671875,,,,,,,0.9541302460202605,0.943133633076175,9341.0970703125,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.992960926193922,0.9910430559922465,9718.963671875,,,,,,,,,,0.895166425470333,0.8730820116634395,11409.884765625,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.992960926193922,0.9910430559922465,9718.963671875,,,,,,,,,,,,,,,2022.2893352731257,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.992960926193922,0.9910430559922465,9718.963671875,,,,,,,,,,,,,,,,,,2266.9960796303467
