model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
LSTM,0.94983502170767,0.003681293161836953,0.9378635989533173,0.004611215021479218,9503.4439453125,127.10437366154653,0.023126634928854733,0.001754308077572457,0.4500923156738281,0.0,0.0,0.0,0.9403574655087588,1
STA-LSTM,0.9924978292329957,0.00052877278132189,0.9905564562064659,0.0007676515611668789,9835.3017578125,163.33479751799973,0.03490640403967022,0.0016142316477889805,0.7258491516113281,0.0,0.0,0.0,0.9124506945827945,2
STA-LSTM-H,0.992960926193922,0.0004892745958695422,0.9910430559922465,0.0007537552436879295,9718.963671875,74.88373656694613,0.03624942108271738,0.002165291709323658,0.7258491516113281,0.0,0.0,0.0,0.9103691585971165,3
GRU,0.9541302460202605,0.006618257505494777,0.943133633076175,0.008301127246771265,9341.0970703125,100.37436626343528,0.06137708913300364,0.007374744723270782,0.3380317687988281,0.0,0.0,0.0,0.906394829132821,4
Transformer,0.895166425470333,0.008622577526473345,0.8730820116634395,0.008855135526938831,11409.884765625,296.85241895194156,0.05338582202088622,0.0022129013120263112,1.1455268859863281,0.0,0.0,0.0,0.7940384424182929,5
KF,,,,,2022.2893352731257,0.010761437304337712,0.019077896625046147,0.0001569106483169346,0.0,0.0,18.32981890060315,0.0004370427310690979,,
EKF-HMM,,,,,2266.9960796303467,1.143595121813901,0.019321007283428733,0.00028651302618691414,0.0,0.0,8.447333843629055,0.046192762004160136,,
