model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9931577424023155,0.0008222416627294845,0.9907011713587724,0.0011510998998823486,4372.20478515625,135.0575336789844,0.01003099840226032,7.821263165268902e-05,0.3391304016113281,0.0,0.0,0.0,0.9998609307006076,1
GRU + bp_lag1,0.9863849493487699,0.0013778593849434844,0.9813207431879702,0.0019220888976252686,4296.96806640625,75.3773945395478,0.010021725418814357,7.542063635684792e-05,0.3391304016113281,0.0,0.0,0.0,0.9944981291307743,2
LSTM + bp,0.9929261939218523,0.0009928273956361583,0.9904946926654226,0.0013356102357558615,4379.390625,62.363695378563754,0.01049201326867951,3.374000701258234e-05,0.4515571594238281,0.0,0.0,0.0,0.9703869589748735,3
LSTM + bp_lag1,0.9853661360347322,0.00037228214624168677,0.9799635140096313,0.0004916708685953914,4638.84443359375,180.27587790116073,0.011335902635746685,0.0016454562455522918,0.4515571594238281,0.0,0.0,0.0,0.9571868884115526,4
STA-LSTM-H + bp_lag1,0.9862923299565847,0.0012492893508738662,0.9813188203759717,0.0016955547979599355,4921.881640625,111.24248998586242,0.012601652585627718,4.008570776998577e-05,0.7258491516113281,0.0,0.0,0.0,0.9206724846472542,5
STA-LSTM + bp_lag1,0.9854819102749637,0.0016321293790980361,0.980202697904945,0.0022519727560352813,4958.53056640625,50.21749608561568,0.012654689481608602,4.274616141380587e-05,0.7258491516113281,0.0,0.0,0.0,0.9196864154801202,6
Transformer + bp,0.9932156295224314,0.0012562438693654741,0.9907941477199943,0.0016093059681675345,5424.9109375,85.14500071095527,0.01375170477548703,4.191773691859646e-05,1.1460151672363281,0.0,0.0,0.0,0.902468379340895,7
Transformer + bp_lag1,0.986697539797395,0.0010128757384937459,0.9818988120987335,0.001560893721447441,5531.3521484375,107.26409579144561,0.013823036768900935,0.00012743750880354562,1.1460151672363281,0.0,0.0,0.0,0.8968422205904607,8
STA-LSTM (accel),0.9426570188133141,0.006309600498485885,0.9307648785868246,0.0070405792132091,4956.3076171875,59.1105030062097,0.012690309013271039,3.875127282133372e-05,0.7238960266113281,0.0,0.0,0.0,0.885096258398712,9
STA-LSTM-H (accel),0.9378060781476121,0.008872008990964983,0.9248490220035916,0.010561251288997592,4965.85634765625,89.74607891846908,0.012711590899938957,0.0001258689875350514,0.7238960266113281,0.0,0.0,0.0,0.8810567826245717,10
