model,accuracy_mean,accuracy_std,f1_mean,f1_std,rmse_mean,rmse_std,latency_ms_mean,latency_ms_std,memory_mb_mean,memory_mb_std,kf_reduction_pct_mean,kf_reduction_pct_std,composite_score,rank
GRU + bp,0.9937250361794501,0.0006716901744421674,0.991481930659778,0.0009293277609338166,10692.68828125,254.6191590014388,0.010011960738830473,0.00012255300315074322,0.3391304016113281,0.0,0.0,0.0,0.9998788528294853,1
GRU + bp_lag1,0.9866859623733719,0.0012420800932739042,0.9818898463034718,0.0016733671720611304,10997.38046875,482.2317381924051,0.010144750762854832,0.00023082811726928782,0.3391304016113281,0.0,0.0,0.0,0.9929039398095845,2
LSTM + bp,0.9935282199710563,0.0007999321410188156,0.9913772372273618,0.00105128044710298,11044.6103515625,479.9034572545147,0.010489726077910788,7.530401088624772e-05,0.4515571594238281,0.0,0.0,0.0,0.9702682574364877,3
LSTM + bp_lag1,0.9864891461649783,0.0008409386881544305,0.9818527693369277,0.0011067141218544028,10934.16015625,313.25328352623677,0.010587712740404301,0.00012089811008318388,0.4515571594238281,0.0,0.0,0.0,0.9637189739177776,4
STA-LSTM-H + bp_lag1,0.9874616497829232,0.0008504482858330239,0.9832499085328218,0.0011357508903738457,11778.9982421875,398.0731341071451,0.012664731020477157,0.00016898884154365382,0.7258491516113281,0.0,0.0,0.0,0.9206130270032822,5
STA-LSTM + bp_lag1,0.9850767004341534,0.0018251984303725385,0.9799707932732187,0.0024720013769865064,11949.616015625,626.7048000509783,0.012625565718692309,5.807867871331083e-05,0.7258491516113281,0.0,0.0,0.0,0.9189385404140752,6
STA-LSTM (accel),0.9701302460202603,0.0018981327033904926,0.9629616049352135,0.0022325663782169543,11940.45546875,256.20022119799916,0.012636101916540205,0.00011258576310058296,0.7238960266113281,0.0,0.0,0.0,0.9069676326285868,7
STA-LSTM-H (accel),0.9680347322720694,0.00640906368113096,0.9601521507942115,0.008706525545053913,11756.649609375,348.98585748485783,0.012585950761968768,0.00010643919039206273,0.7238960266113281,0.0,0.0,0.0,0.9055966104046936,8
Transformer + bp,0.9938755426917512,0.0008628094186460141,0.9917369279740355,0.0011167830816807783,14505.538671875,309.8328258290956,0.013793042548238025,0.00016084701087692765,1.1460151672363281,0.0,0.0,0.0,0.9021791748781891,9
Transformer + bp_lag1,0.9882836468885673,0.0007009841043459445,0.9840977654276613,0.0009196993459243063,14897.9560546875,451.7526837727848,0.013795728056641718,0.00011744976300289904,1.1460151672363281,0.0,0.0,0.0,0.8976639615822508,10
