comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,4.0,0.84375,False,4.0,0.84375,False,10.0,0.78125,False,0.992590448625181,0.9905243789945916,11789.674609375,0.9928335745296671,0.9907635440410825,11636.1763671875,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.992590448625181,0.9905243789945916,11789.674609375,,,,0.9253487698986976,0.9115683996249357,11043.0619140625,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,14.0,0.96875,False,0.992590448625181,0.9905243789945916,11789.674609375,,,,,,,0.9289725036179451,0.9163363015171704,10918.691796875,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.992590448625181,0.9905243789945916,11789.674609375,,,,,,,,,,0.885082489146165,0.8625577842852256,12699.5341796875,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.992590448625181,0.9905243789945916,11789.674609375,,,,,,,,,,,,,,,2900.9877130821,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.992590448625181,0.9905243789945916,11789.674609375,,,,,,,,,,,,,,,,,,3254.0753956617964
