comparison,acc_stat,acc_p_value,acc_significant,f1_stat,f1_p_value,f1_significant,rmse_stat,rmse_p_value,rmse_significant,lstmh_mean_acc,lstmh_mean_f1,lstmh_mean_rmse,sta_lstm_mean_acc,sta_lstm_mean_f1,sta_lstm_mean_rmse,lstm_mean_acc,lstm_mean_f1,lstm_mean_rmse,gru_mean_acc,gru_mean_f1,gru_mean_rmse,transformer_mean_acc,transformer_mean_f1,transformer_mean_rmse,kf_mean_acc,kf_mean_f1,kf_mean_rmse,ekf_hmm_mean_acc,ekf_hmm_mean_f1,ekf_hmm_mean_rmse
STA-LSTM-H vs STA-LSTM,5.0,0.78125,False,5.0,0.78125,False,2.0,0.09375,False,0.9930767004341534,0.9903096603437037,19084.99453125,0.9935861070911722,0.9910237958897777,19530.390234375,,,,,,,,,,,,,,,
STA-LSTM-H vs LSTM,15.0,0.03125,True,15.0,0.03125,True,15.0,1.0,False,0.9930767004341534,0.9903096603437037,19084.99453125,,,,0.9269811866859623,0.9066119441322448,18771.33046875,,,,,,,,,,,,
STA-LSTM-H vs GRU,15.0,0.03125,True,15.0,0.03125,True,11.0,0.84375,False,0.9930767004341534,0.9903096603437037,19084.99453125,,,,,,,0.9353863965267728,0.9185070758631125,18885.660546875,,,,,,,,,
STA-LSTM-H vs Transformer,15.0,0.03125,True,15.0,0.03125,True,0.0,0.03125,True,0.9930767004341534,0.9903096603437037,19084.99453125,,,,,,,,,,0.888602026049204,0.8567881380553668,21049.497265625,,,,,,
STA-LSTM-H vs KF,,,False,,,False,15.0,1.0,False,0.9930767004341534,0.9903096603437037,19084.99453125,,,,,,,,,,,,,,,4182.712410634305,,,
STA-LSTM-H vs EKF-HMM,,,False,,,False,15.0,1.0,False,0.9930767004341534,0.9903096603437037,19084.99453125,,,,,,,,,,,,,,,,,,4686.149434883031
